,Unnamed: 0,0,UPC,EAN,Custom SKU,Manufact. SKU,Item,Qty.,Nano Tech - Kensington,Price,Tax,Brand,Season,Department,RRP,Tax Class,Default Cost,Vendor,Category,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Subcategory 5,Subcategory 6,Subcategory 7,Subcategory 8,Subcategory 9
0.0,,,7967966906026.0,,,,Temax 1,000mm Premium Nylon Cable for Type-C - Red,1.0,1.0,£19,Yes,Temax,,,£19,Item,£0,John Pye Auctions,,,,,,,,,,
1.0,,,7967966906003.0,,,,Temax 1,000mm Premium Nylon Cable for Micro-USB - Silver,1.0,1.0,£19,Yes,Temax,,,£19,Item,£0,John Pye Auctions,,,,,,,,,,
2.0,,,7967966906004.0,,,,Temax 1,000mm Premium Nylon Cable for Micro-USB - Gold,2.0,2.0,£19,Yes,Temax,,,£19,Item,£0,John Pye Auctions,,,,,,,,,,
3.0,,,7967966906001.0,,,,Temax 1,000mm Premium Nylon Cable for Micro-USB - Black,1.0,1.0,£19,Yes,Temax,,,£19,Item,£0,John Pye Auctions,,,,,,,,,,
4.0,,,5060674508566.0,,,,VEN-DENS 2 in 1 OTG Connector for USB-C + Micro-USB,1.0,1.0,£14.99,Yes,VEN-DENS,,,£14.99,Item,£,NanoTech KENSINGTON,,,,,,,,,,,
5.0,,,5060674508610.0,,,,VEN-DENS OTG Connector for Type-C,8.0,8.0,£12.99,Yes,Ven-Dens,,,£12.99,Item,£0,NanoTech KENSINGTON,,,,,,,,,,,
6.0,,,745883741397.0,,,,Belkin 2.0 USB-C™ to Micro USB Adapter,5.0,5.0,£12.99,Yes,Belkin,,,£12.99,Item,£0,NanoTech KENSINGTON,,,,,,,,,,,
6.0,,,INPUT,,,,USB2.0 HUB 4-port Super Speed (Ultra Slim),4.0,4.0,£12.99,Yes,UNKNOWN,,,£12.99,Item,£0,NanoTech KENSINGTON,,,,,,,,,,,
8.0,,,6910655878661.0,,,,USB Type-C to HDMI HDTV 4K TV Cable Adapter,9.0,9.0,£29.99,Yes,4K,,,£29.99,Item,£0,NanoTech KENSINGTON,,,,,,,,,,,
9.0,,,745883730636.0,,,,Belkin Car Vent Mount for Smartphone,3.0,3.0,£29.99,Yes,Belkin,,,£29.99,Item,£0,NanoTech KENSINGTON,,,,,,,,,,,
10.0,,,842978146997,,,,Vent Mount for PopSockets PopGrip - Black 842978146997,1.0,1,£,Yes,Pop Sockets,,,£,Item,£0,NanoTech KENSINGTON,,,,,,,,,,
